Bundesland,Entwicklung,Vergleich,Platz
Berlin,12.6 Tsd.,12.17,#1
Saarland,1.9 Tsd.,10.50,#2
Bremen,1.7 Tsd.,10.37,#3
Niedersachsen,14.3 Tsd.,9.38,#4
Rheinland-Pfalz,7.3 Tsd.,9.19,#5
Nordrhein-Westfalen,29.2 Tsd.,9.10,#6
Hessen,11.1 Tsd.,8.71,#7
Bayern,22.6 Tsd.,7.89,#8
Baden-Württemberg,16.2 Tsd.,7.51,#9
Brandenburg,3 Tsd.,7.41,#10
Schleswig-Holstein,4.7 Tsd.,7.30,#11
Hamburg,3.8 Tsd.,7.12,#12
Sachsen-Anhalt,2.4 Tsd.,6.98,#13
Thüringen,2.1 Tsd.,6.65,#14
Mecklenburg-Vorpommern,2.4 Tsd.,5.33,#15
Sachsen,3.9 Tsd.,5.26,#16
