Bundesland,Entwicklung,Vergleich,Platz
Berlin,3.13 Mrd. €,43.0,#1 der größten Umsatzrückgang
Hessen,3.46 Mrd. €,36.9,#2 der größten Umsatzrückgang
Bayern,7.32 Mrd. €,36.0,#3 der größten Umsatzrückgang
Nordrhein-Westfalen,5.71 Mrd. €,33.6,#4 der größten Umsatzrückgang
Hamburg,1.03 Mrd. €,32.7,#5 der größten Umsatzrückgang
Bremen,0.21 Mrd. €,32.2,#6 der größten Umsatzrückgang
Baden-Württemberg,3.88 Mrd. €,30.1,#7 der größten Umsatzrückgang
Saarland,0.23 Mrd. €,29.7,#8 der größten Umsatzrückgang
Rheinland-Pfalz,1.17 Mrd. €,29.3,#9 der größten Umsatzrückgang
Niedersachsen,2.09 Mrd. €,28.4,#10 der größten Umsatzrückgang
Thüringen,0.34 Mrd. €,27.0,#11 der größten Umsatzrückgang
Sachsen-Anhalt,0.31 Mrd. €,23.9,#12 der größten Umsatzrückgang
Schleswig-Holstein,0.75 Mrd. €,23.6,#13 der größten Umsatzrückgang
Sachsen,0.67 Mrd. €,22.9,#14 der größten Umsatzrückgang
Brandenburg,0.33 Mrd. €,18.1,#15 der größten Umsatzrückgang
Mecklenburg-Vorpommern,0.35 Mrd. €,14.6,#16 der größten Umsatzrückgang
