Bundesland,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
Baden-Württemberg,97.4,98.3,100.1,103.3,104.8,106.2,108.1,105.9,106.5,104.3,101.7,101.7,97.3,96.7,99,102.7,104.2,104.5,105.4,104.2,104.8,101.3,100.2,99.5,97,97.3,100.6,102.1,104.3,103.2,104.3,105.3,106.1,103.7,101.7,102.5,99.2,99.9,96.3,72.8,77,81.4,87,89.4,89.4,88.6,74.7,69,67.3,67.1,67.6,68.1,70.1,78.7,83.2,85.1,87.1,89,85.8,81.5,79.2,80.5,84.4,86.7,89.8,91.9,92.4,NaN,NaN,NaN,NaN,NaN
Bayern,96.6,96.9,99.1,101.6,103.6,105.8,107.3,106.8,108.5,106.8,100.3,101.9,98.1,98.4,101.2,104.4,107,109.5,110.5,110.7,110.9,108.5,101.8,102.6,99.7,100.7,103,106.1,108.4,111.6,112.8,112.6,111.4,108.9,104,NaN,101.1,101.5,96.9,74.7,81,88,92.7,95.2,95.6,92.2,77.2,73.8,70.8,70.9,70.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Berlin,98.8,99.4,100.2,103.2,104.8,105.3,105.4,104.1,102.3,100.1,100.1,100.6,97.5,97.9,99.9,102.5,104.2,104.1,102.9,103.2,103.2,101.9,102.7,101.7,100.6,101.9,101.9,103.3,103.8,103,103.2,102.5,104.3,103.1,103.6,102.7,101,100.5,97.6,86.6,85.2,85.4,85,87.2,86.9,84.5,79.9,77.7,75.5,75,73.7,74.2,74.1,76.8,78.5,81.8,82.3,84.2,84,83.2,79.8,78.6,81.7,84.5,87,88.5,NaN,NaN,NaN,NaN,NaN,NaN
Brandenburg,102.6,101.5,104.5,108.4,111.1,112.5,111.7,109.3,108.7,107.5,104.7,105.6,102.4,100.3,102.9,107.1,111.6,113.3,112.9,113.5,112.8,111.7,112.1,112,107,110.4,112.2,116.7,115.3,115.7,115.8,113.5,111.8,113.8,110.7,108.6,107.7,106.2,104.9,94.4,95.6,96.4,100,98.7,99.4,96.7,91.2,86.3,82.6,82.1,84.2,84.5,84.9,90.8,93.9,94.4,93,92.9,92.1,89.9,84.9,85.2,85.1,89.3,91.3,91.9,NaN,NaN,NaN,NaN,NaN,NaN
Bremen,98.8,100.3,107.7,109,108.3,106,103,106.4,104.3,102.2,104.1,105.5,104.7,106.1,108.2,108.8,109.3,102.8,104.5,108.7,110.6,109.3,110.7,110.5,107.8,108.2,111.5,111.6,113.1,114.2,112.4,112.7,112.8,110.6,109.1,109.1,106,105.2,99.6,87.7,87,84.3,88,89.8,94.2,92.4,83,79.6,77.8,76.6,76.6,76,78.3,85.8,89.6,92.7,93.8,93.9,92.6,89,84.9,84.7,87.8,89.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hamburg,98.4,99.2,102.3,102,102.4,103.7,105.2,105.3,103.8,103,102.5,101.4,100,99.5,102.7,100.6,102.8,106.1,104,105.4,102.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hessen,97.3,97.9,100.8,102,103.5,105,102.9,102.7,104.1,103.3,103.1,102.4,99.8,99.9,102.4,104.6,105.8,108.4,107.1,106.7,107,106,105.1,105,100.8,101.6,103.3,104,105.2,104.9,105.2,105.4,105.9,105,103.5,103.3,101.5,101.7,95.4,79.2,81.6,85.1,87.4,87.7,88.3,86.7,76.7,73,71.8,71.5,71.2,70.2,71.4,79.4,84,86.4,87,87.3,86.4,84.4,80.2,80.3,83,84.5,87.6,90,NaN,NaN,NaN,NaN,NaN,NaN
Mecklenburg-Vorpommern,97.3,95.5,98.4,105.7,109.5,111.4,115.5,115,112.9,110.8,106.6,105.5,93.8,93,99.5,100.3,103.1,107.8,111.4,112.1,109.4,107.1,102.6,102.2,96,96.6,100.2,106,109.7,111.6,115.2,114.2,111.3,108.9,101.7,100.6,95.1,96,93.7,86.9,89.4,97.5,102.8,102.8,103.5,101.2,89.8,86.3,85.6,84.2,84.6,83.5,84.1,96.7,105.1,104.6,101.6,101.4,94.1,90.9,90.1,91.1,93.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Niedersachsen,94.4,95,98,100.5,102.7,105.1,103.7,105.8,105.3,105.1,102.1,102.4,94.5,93.1,96.3,97.6,103.5,107.5,106.6,107.5,104.6,100.8,103.6,101,96.4,96.5,98.3,101,102.9,105.3,104.9,107.9,104.8,100.5,100.1,102.8,95.7,96.9,91.2,73.5,78.7,82.6,86.3,90.4,90.4,88.3,75.2,71.7,69.1,68.7,69.7,69.5,72.1,81.5,88.1,90.4,91.4,90.2,87,83.5,78.8,79,83.3,87.4,90.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nordrhein-Westfalen,91.3,101.6,106,107.2,107.5,105.8,107,106.4,107.2,107.3,106.8,105.9,104.5,98.6,99.8,101.4,101.9,103.3,101.6,101.1,101.7,101,100.4,100.4,100,99.7,100.2,102.5,102.8,102.2,104.9,104.8,104.2,103.3,103.3,103,101.7,102.1,96.2,83.8,86.7,89.5,90.5,91.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
