Bundesland,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
Baden-Württemberg,80.9,82.6,98.7,102.6,111.9,106.2,115.5,105.7,109.5,111.9,94.6,102.9,85.5,83.6,97.3,105.3,106.1,107.5,116.9,105.6,110.9,110.9,98,106.4,84.8,87.4,100.7,102.4,111.3,105.7,114.6,108.5,109.6,109.6,99.6,106.2,88.4,88.5,54.9,25.1,36.6,64.5,86.3,89.3,91.1,79.1,32,28.7,24.5,27.3,31.6,31.5,41.5,67.3,94.3,94,95,94.1,70.1,59.6,53.2,58.4,70.8,83.6,97.7,94.4,103.7,NaN,NaN,NaN,NaN,NaN
Bayern,82.6,84.9,92.2,92.9,106.2,105.5,117,110.6,119.3,111.6,88.3,102.1,87.3,84.6,94.9,99.8,109.5,111.3,122.4,115.3,121.6,118.1,97.1,106.5,88.7,90,99.1,103.3,107.6,113,123.2,114.5,118.9,116.7,97.2,NaN,90.6,91.5,53.6,24.6,36.9,65.8,90,93.9,91.4,78.7,32.2,29.8,25.7,26.8,31.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Berlin,81.2,90.6,102.2,98.3,110.1,111,108.1,94.5,117.5,108.6,100.7,101.4,82.8,88.4,100.3,101.9,106.9,113,100.1,101.7,120.5,113,107.2,105.6,86.3,92.4,103.5,99.9,111.1,109.4,96.7,103.6,118.5,112,110.8,106.2,86.8,91.8,56.3,23.1,33.4,47.1,54.6,61.7,64.4,52.3,28.7,27.7,22.9,23,29.3,26.9,34,54.3,62,76.6,88.3,83.2,79,63.5,48.5,52.4,67.6,75.2,86.2,93.4,NaN,NaN,NaN,NaN,NaN,NaN
Brandenburg,80.9,77.4,91.1,99.3,114.9,123.1,124.9,113.2,119.5,103.5,92.3,102.5,80.1,81.4,90.5,99.4,114.5,118.6,116.2,115.7,114.9,104.7,97.4,102.2,89.7,86.1,100.3,101.8,115.3,115.5,111.6,124.7,116.1,105.3,103.1,104.3,90.2,84.3,61.9,34.2,49.3,78.6,96.6,108.3,102.3,88.2,45.5,42.9,35.7,35,40.7,40.2,48.2,76.5,97.1,109.9,99.9,91.5,79.2,68.7,59.6,59.1,73.7,81.3,95.1,96.9,NaN,NaN,NaN,NaN,NaN,NaN
Bremen,61.3,86.3,100.5,102.1,108.8,102.4,96.3,106.9,109.5,104,101.8,117.4,83.8,84.4,88.4,96.7,100.9,97.7,89.1,99.6,101.4,99.8,96.8,115.6,74.4,77.4,92.3,92.9,107.5,100.5,92.1,108,108,99.5,103.5,113.7,79.7,87.2,49.9,21.9,34.9,53.6,69.3,66.9,73.7,59.9,27.6,27,23.7,22.1,28.2,26.8,41.1,60,80,85.1,84.1,83.9,75.5,67.6,49.3,59.5,68.5,73.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hamburg,82.9,84.6,103.1,109,114,111.7,115.5,102.6,115.5,105.3,106.8,114.5,86.2,88.8,104.1,123.6,115,117.6,109.3,112.8,118.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hessen,86.4,87.4,101.6,102.1,107.6,110.6,104.7,105,106.8,106.4,101.1,114.7,90.6,89.1,101.7,104.8,109.6,110.6,102.9,107.6,108.3,105.2,105.8,117.2,93.2,96.2,109.3,98,113.2,106.8,97.3,101.7,112,108.3,111.5,102.8,91,93.1,57.3,22.1,35,50.8,61.6,65.5,69.1,61.5,33.5,31.8,27,26.8,32.1,30.4,34.6,55.6,69.5,72.3,78.4,78.3,72.2,60.9,49.2,52.2,65,69.6,88.5,90.3,NaN,NaN,NaN,NaN,NaN,NaN
Mecklenburg-Vorpommern,65.5,62.2,75.7,94.5,107.8,130.3,165,163.3,124.4,105.2,73.8,88.9,66.7,66.7,80.2,84.4,109.5,120.1,152.4,152.3,114.4,100.9,71.8,83.8,63.1,67.9,78.8,95.2,103.2,129.9,159,158.1,116.2,104.2,71.5,77.6,61.4,69.6,43,16.5,40.6,113,154.6,165.3,136.8,111.1,18.6,18.8,17.9,16,18.4,17.4,24,101.4,173.2,183.2,139.8,122.4,65.8,45.6,43.4,45.1,56.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Niedersachsen,74.1,75.3,91.9,100,107.6,108,104.2,115.1,109.9,101.2,91.3,105.6,76.8,75.4,86.8,99.2,109,111.3,113.4,120,116.4,102.2,93.3,99.9,78.5,79.1,92.6,98.3,105.6,113.7,107.6,116.1,110.8,99.3,96.5,101.4,81.7,83.2,54.3,26.9,46.6,69.6,91.2,96.9,94.1,83.7,33,32.9,30.3,26.9,32.8,33.2,44.9,84.1,105.1,105.9,102.1,97.3,73.6,62,56.7,56.3,70.8,79.2,96.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nordrhein-Westfalen,88.5,85.6,95,106.3,101,98.5,101.8,98.2,104.1,103.1,101.4,103.9,89.3,90,101,102.9,100.9,105,100.6,99.4,106.7,104,103.6,106.6,94.2,91.1,103.3,98,103.2,103.5,100.8,101,105.1,110.9,107.7,105.4,90.7,93.3,56.6,29.6,43.2,60.8,70.3,74.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rheinland-Pfalz,77,76.6,91.5,104.2,115.2,116.5,118.7,122,120.2,115.2,94,97.7,80,74.6,91.9,109.3,119.5,116,116.6,124.5,122.2,118.1,97.2,99,76.4,76.3,94.2,101,116,122.6,117,127.7,118.2,114.1,96.9,101.4,78.4,82.4,51.9,21.6,45.3,75,97,106.7,104.5,89,28.2,25.9,22.5,23,28.3,28.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Saarland,78.8,82.1,91.8,97.1,103.9,105.7,107,113.2,103.3,102,95.9,109.7,84.7,83.4,96.2,98.1,104.8,102.4,99.6,108.2,100.1,102.5,94.3,110.5,78,80.6,86.6,90,94.5,96.6,93.5,100.1,93.9,104.6,94.7,134.7,79.7,77,50,19.7,35.2,59.2,73.6,82,80.1,71.9,28.5,26.7,22,23.9,26.5,29.9,31.6,60.4,79.4,85.3,83.8,86.8,73.5,77,48.6,53.8,67.1,76.8,84.2,82.1,92.4,NaN,NaN,NaN,NaN,NaN
Sachsen,86.1,83.9,98,103.5,112.9,114.7,104.5,114.8,116.5,111.2,103,130.9,85.5,83.3,95.9,104.9,115.6,113.3,100.6,108.7,113,104.5,102.8,128.2,84.2,84.7,93.2,101.7,111.8,116.9,108.9,117.6,113.4,108.6,105.6,126.8,87,85.6,56.6,25.1,46.8,76.6,97.3,100.3,102.9,94.4,37.9,32.7,27,29.8,35.4,34.1,38.8,71.2,103.5,103.9,104.5,101.4,66.2,47.3,46,58.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
